fighter_name,weight_lbs,height_cms,stance
Scott Askham,185.0,190.5,Southpaw
Shane Campbell,155.0,182.88,Orthodox
Jeremy Kennedy,145.0,180.34,Orthodox
Nate Diaz,170.0,182.88,Southpaw
Anthony Johnson,205.0,187.96,Orthodox
Rick Story,170.0,175.26,Southpaw
Hyun Gyu Lim,170.0,190.5,Orthodox
Colby Covington,170.0,180.34,Orthodox
Alberto Uda,185.0,190.5,Orthodox
Viktor Pesta,240.0,190.5,Orthodox
Francisco Rivera,135.0,172.72,Orthodox
Michael Graves,170.0,177.8,Orthodox
Cesar Arzamendia,155.0,180.34,Orthodox
Jim Alers,145.0,175.26,Orthodox
Michael McDonald,135.0,175.26,Orthodox
Brock Lesnar,265.0,190.5,Orthodox
Cain Velasquez,240.0,185.42,Orthodox
Dooho Choi,145.0,177.8,Orthodox
Joaquim Silva,155.0,172.72,Orthodox
Cory Hendricks,205.0,190.5,Orthodox
Anthony Birchak,135.0,172.72,Orthodox
Russell Doane,135.0,170.18,Orthodox
Rory MacDonald,170.0,182.88,Orthodox
Steve Bosse,205.0,180.34,Orthodox
Tamdan McCrory,185.0,193.04,Switch
Chris Beal,125.0,170.18,Orthodox
Ali Bagautinov,125.0,162.56,Orthodox
Dan Henderson,185.0,180.34,Orthodox
Sean Strickland,170.0,185.42,Orthodox
Kevin Casey,185.0,180.34,Southpaw
Chris Camozzi,185.0,187.96,Orthodox
Jorge Masvidal,170.0,180.34,Orthodox
Antonio Silva,264.0,193.04,Orthodox
Albert Tumenov,170.0,180.34,Orthodox
Jon Tuck,155.0,180.34,Orthodox
Yan Cabral,155.0,180.34,Orthodox
Ulka Sasaki,125.0,177.8,Southpaw
Efrain Escudero,155.0,175.26,Orthodox
Oluwale Bamgbose,185.0,180.34,Switch
Ben Rothwell,265.0,193.04,Orthodox
Igor Pokrajac,205.0,182.88,Orthodox
Nicolas Dalby,170.0,180.34,Orthodox
Ian Entwistle,135.0,165.1,Orthodox
Filip Pejic,135.0,172.72,Orthodox
